time_elapsed,pos1,pos2,pos3,torque1,torque2,torque3
14,0.00518,-3.918818,0.006727,0.008087,18.666325,-4.744738
14.01,0.005175,-3.918821,0.006711,0.010742,18.705347,-4.739268
14.02,0.00517,-3.918824,0.00669,0.013377,18.74413,-4.733829
14.03,0.005165,-3.918826,0.006664,0.015991,18.78269,-4.728419
14.04,0.005161,-3.918827,0.006633,0.018585,18.82104,-4.723035
14.05,0.005157,-3.918826,0.006596,0.021159,18.859196,-4.717674
14.061,0.005153,-3.918822,0.006555,0.023712,18.897173,-4.712334
14.07,0.005153,-3.918822,0.006555,0.023712,18.897173,-4.712334
14.08,0.005147,-3.918806,0.006458,0.028757,18.972644,-4.701707
14.09,0.005144,-3.918793,0.006402,0.031249,19.010167,-4.696415
14.1,0.005144,-3.918793,0.006402,0.031249,19.010167,-4.696415
14.11,0.005141,-3.918775,0.006341,0.033721,19.047569,-4.691134
14.12,0.005139,-3.918752,0.006275,0.036171,19.084862,-4.685861
14.13,0.005137,-3.918724,0.006205,0.038601,19.122061,-4.680594
14.14,0.005135,-3.91869,0.006129,0.041011,19.159179,-4.675331
14.15,0.005133,-3.918649,0.006049,0.043399,19.196231,-4.67007
14.16,0.005132,-3.918602,0.005964,0.045766,19.23323,-4.664807
14.17,0.005131,-3.918547,0.005875,0.048113,19.270189,-4.659541
14.18,0.005131,-3.918484,0.005781,0.050438,19.307122,-4.654269
14.19,0.00513,-3.918413,0.005682,0.052742,19.344042,-4.64899
14.2,0.00513,-3.918333,0.005579,0.055024,19.380962,-4.6437
14.21,0.00513,-3.918244,0.005472,0.057285,19.417896,-4.638397
14.22,0.00513,-3.918145,0.00536,0.059524,19.454856,-4.63308
14.23,0.005131,-3.918035,0.005243,0.061741,19.491856,-4.627746
14.24,0.005132,-3.917915,0.005123,0.063937,19.528907,-4.622393
14.25,0.005133,-3.917783,0.004998,0.06611,19.566023,-4.617018
14.26,0.005134,-3.91764,0.004869,0.068261,19.603216,-4.61162
14.27,0.005136,-3.917485,0.004736,0.070389,19.640498,-4.606196
14.28,0.005137,-3.917317,0.004599,0.072495,19.677881,-4.600744
14.29,0.005139,-3.917136,0.004458,0.074578,19.715379,-4.595263
14.3,0.005142,-3.916941,0.004313,0.076638,19.753002,-4.589749
14.31,0.005144,-3.916733,0.004164,0.078675,19.790762,-4.584202
14.32,0.005147,-3.91651,0.004012,0.080689,19.828672,-4.578618
14.33,0.00515,-3.916272,0.003855,0.082679,19.866743,-4.572996
14.34,0.005153,-3.916019,0.003696,0.084646,19.904986,-4.567333
14.35,0.005157,-3.91575,0.003533,0.086588,19.943414,-4.561629
14.36,0.00516,-3.915465,0.003366,0.088507,19.982036,-4.55588
14.37,0.005164,-3.915163,0.003196,0.090401,20.020864,-4.550085
14.38,0.005168,-3.914844,0.003023,0.09227,20.05991,-4.544241
14.39,0.005172,-3.914508,0.002847,0.094115,20.099183,-4.538347
14.4,0.005177,-3.914154,0.002668,0.095935,20.138696,-4.532401
14.41,0.005181,-3.913781,0.002486,0.09773,20.178457,-4.5264
14.42,0.005186,-3.91339,0.002301,0.0995,20.218479,-4.520343
14.43,0.005191,-3.91298,0.002113,0.101244,20.258771,-4.514229
14.44,0.005196,-3.91255,0.001923,0.102962,20.299343,-4.508054
14.45,0.005201,-3.9121,0.00173,0.104654,20.340205,-4.501817
14.46,0.005207,-3.91163,0.001534,0.10632,20.381368,-4.495516
14.47,0.005213,-3.911139,0.001336,0.107959,20.422841,-4.489149
14.48,0.005218,-3.910627,0.001136,0.109571,20.464634,-4.482715
14.49,0.005224,-3.910093,0.000934,0.111157,20.506756,-4.476211
14.5,0.005231,-3.909537,0.00073,0.112715,20.549217,-4.469635
14.51,0.005237,-3.908959,0.000524,0.114246,20.592025,-4.462987
14.52,0.005243,-3.908358,0.000316,0.115749,20.635191,-4.456262
14.53,0.00525,-3.907735,0.000106,0.117224,20.678722,-4.449461
14.54,0.005256,-3.907087,-0.000106,0.118671,20.722628,-4.442581
14.55,0.005263,-3.906416,-0.000318,0.12009,20.766917,-4.43562
14.56,0.00527,-3.90572,-0.000533,0.12148,20.811598,-4.428576
14.57,0.005277,-3.905,-0.000748,0.12284,20.856679,-4.421447
14.58,0.005284,-3.904255,-0.000965,0.124172,20.902169,-4.414233
14.59,0.005292,-3.903485,-0.001183,0.125474,20.948074,-4.40693
14.6,0.005299,-3.902688,-0.001401,0.126746,20.994404,-4.399537
14.61,0.005306,-3.901866,-0.001621,0.127989,21.041165,-4.392051
14.62,0.005314,-3.901018,-0.001841,0.129201,21.088366,-4.384473
14.63,0.005321,-3.900142,-0.002061,0.130382,21.136014,-4.376798
14.64,0.005329,-3.899239,-0.002283,0.131533,21.184115,-4.369026
14.65,0.005337,-3.898309,-0.002504,0.132652,21.232678,-4.361155
14.66,0.005344,-3.897352,-0.002726,0.13374,21.281709,-4.353183
14.67,0.005352,-3.896366,-0.002947,0.134797,21.331214,-4.345108
14.68,0.00536,-3.895351,-0.003169,0.135821,21.381201,-4.336928
14.69,0.005368,-3.894308,-0.003391,0.136813,21.431675,-4.328641
14.7,0.005376,-3.893235,-0.003612,0.137773,21.482644,-4.320246
14.71,0.005384,-3.892133,-0.003833,0.1387,21.534112,-4.311741
14.72,0.005392,-3.891002,-0.004053,0.139594,21.586086,-4.303123
14.73,0.0054,-3.88984,-0.004273,0.140455,21.638572,-4.294392
14.74,0.005408,-3.888647,-0.004492,0.141282,21.691576,-4.285545
14.75,0.005416,-3.887424,-0.00471,0.142075,21.745101,-4.27658
14.76,0.005424,-3.88617,-0.004927,0.142833,21.799155,-4.267496
14.77,0.005432,-3.884885,-0.005143,0.143558,21.853741,-4.25829
14.78,0.00544,-3.883568,-0.005358,0.144247,21.908865,-4.248961
14.79,0.005448,-3.882219,-0.005571,0.144901,21.964532,-4.239508
14.8,0.005456,-3.880837,-0.005783,0.14552,22.020745,-4.229927
14.81,0.005464,-3.879423,-0.005993,0.146104,22.077509,-4.220217
14.82,0.005472,-3.877977,-0.006202,0.146651,22.134828,-4.210377
14.83,0.00548,-3.876497,-0.006408,0.147162,22.192706,-4.200405
14.84,0.005487,-3.874983,-0.006613,0.147636,22.251147,-4.190298
14.85,0.005495,-3.873436,-0.006815,0.148073,22.310154,-4.180055
14.86,0.005503,-3.871856,-0.007015,0.148474,22.369731,-4.169673
14.87,0.00551,-3.87024,-0.007213,0.148836,22.429881,-4.159152
14.88,0.005518,-3.868591,-0.007408,0.149161,22.490606,-4.148489
14.89,0.005525,-3.866906,-0.007601,0.149448,22.55191,-4.137682
14.9,0.005533,-3.865187,-0.007791,0.149696,22.613795,-4.126729
14.91,0.00554,-3.863432,-0.007978,0.149905,22.676263,-4.115629
14.92,0.005547,-3.861642,-0.008162,0.150076,22.739317,-4.104379
14.93,0.005554,-3.859816,-0.008343,0.150207,22.802958,-4.092978
14.94,0.005561,-3.857954,-0.008521,0.150298,22.867188,-4.081423
14.95,0.005568,-3.856055,-0.008695,0.150349,22.932009,-4.069713
14.96,0.005574,-3.85412,-0.008866,0.15036,22.997422,-4.057846
14.97,0.005581,-3.852149,-0.009034,0.15033,23.063429,-4.04582
14.98,0.005587,-3.85014,-0.009198,0.15026,23.130029,-4.033633
14.99,0.005594,-3.848094,-0.009358,0.150148,23.197224,-4.021282
