time_elapsed,pos1,pos2,pos3,torque1,torque2,torque3
0.009,0.014208,-3.926991,0.006443,0.281267,18.588417,-4.715921
0.019,0.014696,-3.926991,0.006430,0.281267,18.588401,-4.715921
0.029,0.015189,-3.926991,0.006418,0.281267,18.588384,-4.715921
0.039,0.015687,-3.926991,0.006407,0.281267,18.588368,-4.715921
0.049,0.016185,-3.926990,0.006391,0.000000,18.547673,-4.761363
0.059,0.016683,-3.926989,0.006372,0.002716,18.587503,-4.755783
0.069,0.017180,-3.926986,0.006349,0.005412,18.627048,-4.750242
0.079,0.017678,-3.926981,0.006322,0.008087,18.666325,-4.744738
0.089,0.018176,-3.926974,0.006292,0.010742,18.705347,-4.739268
0.099,0.018674,-3.926963,0.006257,0.013377,18.744130,-4.733829
0.109,0.019172,-3.926949,0.006219,0.015991,18.782690,-4.728419
0.119,0.019670,-3.926931,0.006177,0.018585,18.821040,-4.723035
0.129,0.020168,-3.926908,0.006131,0.021159,18.859196,-4.717674
0.139,0.020666,-3.926880,0.006081,0.023712,18.897173,-4.712334
0.149,0.021164,-3.926846,0.006028,0.026245,18.934984,-4.707013
0.159,0.021662,-3.926806,0.005971,0.028757,18.972644,-4.701707
0.169,0.022160,-3.926759,0.005910,0.031249,19.010167,-4.696415
0.179,0.022658,-3.926705,0.005846,0.033721,19.047569,-4.691134
0.189,0.023156,-3.926643,0.005778,0.036171,19.084862,-4.685861
0.199,0.023654,-3.926573,0.005706,0.038601,19.122061,-4.680594
0.209,0.024152,-3.926495,0.005631,0.041011,19.159179,-4.675331
0.219,0.024651,-3.926407,0.005553,0.043399,19.196231,-4.670070
0.229,0.025149,-3.926309,0.005471,0.045766,19.233230,-4.664807
0.239,0.025647,-3.926202,0.005385,0.048113,19.270189,-4.659541
0.249,0.026145,-3.926084,0.005296,0.050438,19.307122,-4.654269
0.259,0.026643,-3.925954,0.005204,0.052742,19.344042,-4.648990
0.269,0.027141,-3.925814,0.005108,0.055024,19.380962,-4.643700
0.279,0.027639,-3.925661,0.005009,0.057285,19.417896,-4.638397
0.289,0.028138,-3.925496,0.004907,0.059524,19.454856,-4.633080
0.299,0.028636,-3.925318,0.004802,0.061741,19.491856,-4.627746
0.309,0.029134,-3.925126,0.004693,0.063937,19.528907,-4.622393
0.319,0.029632,-3.924921,0.004582,0.066110,19.566023,-4.617018
0.329,0.030130,-3.924702,0.004467,0.068261,19.603216,-4.611620
0.339,0.030629,-3.924468,0.004349,0.070389,19.640498,-4.606196
