time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.002,1.239873,-3.926991,1.361289,0.078234,-0.000000,1.380242,0.000000,22.416649,0.000000
0.012,1.240662,-3.926991,1.374730,0.078878,-0.000000,1.344075,0.000000,22.377110,0.000000
0.022,1.241457,-3.926991,1.387802,0.079523,-0.000000,1.307163,0.000000,22.339443,0.000000
0.032,1.242259,-3.926991,1.400497,0.080169,-0.000000,1.269535,0.000000,22.303647,0.000000
0.042,1.243067,-3.926991,1.412809,0.080815,-0.000000,1.231216,0.000002,22.269712,0.000000
0.052,1.243883,-3.926991,1.424731,0.081576,-0.000000,1.192224,0.073859,22.242108,0.000000
0.061,1.244707,-3.926991,1.436258,0.082447,-0.000000,1.152626,0.146333,22.221588,0.004181
0.071,1.245541,-3.926991,1.447382,0.083431,-0.000000,1.112429,0.219431,22.200196,0.006269
0.082,1.246387,-3.926991,1.458099,0.084526,-0.000000,1.071660,0.293180,22.180601,0.008377
0.092,1.247244,-3.926991,1.468402,0.085730,-0.000000,1.030345,0.365775,22.162585,0.010451
0.102,1.248114,-3.926991,1.478287,0.087044,-0.000000,0.988509,0.438862,22.146260,0.012539
0.112,1.248999,-3.926991,1.487749,0.088469,-0.000000,0.946180,0.512744,22.131603,0.014650
0.122,1.249899,-3.926991,1.496783,0.090002,-0.000000,0.903383,0.585891,22.118410,0.016740
0.132,1.250816,-3.926991,1.505384,0.091643,-0.000000,0.860143,0.658837,22.106675,0.018824
0.142,1.251749,-3.926991,1.513549,0.093393,-0.000000,0.816485,0.732004,22.096380,0.020914
0.152,1.252702,-3.926991,1.521273,0.095252,-0.000000,0.772435,0.805405,22.087464,0.023012
0.162,1.253674,-3.926991,1.528553,0.097219,-0.000000,0.728018,0.879062,22.079869,0.025116
0.172,1.254667,-3.926991,1.535386,0.099294,-0.000000,0.683257,0.952001,22.073438,0.027200
0.182,1.255682,-3.926991,1.541768,0.101479,-0.000000,0.638178,1.025714,22.068256,0.029306
0.191,1.256720,-3.926991,1.547696,0.103772,-0.000000,0.592803,1.098855,22.064132,0.031396
0.201,1.257781,-3.926991,1.553167,0.106173,-0.000000,0.547157,1.171711,22.061035,0.033477
