time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.003,0.000020,-0.002608,-0.785398,0.000002,0.000722,-0.000000,0.000007,-27.137975,4.769274
0.013,0.000020,-0.002601,-0.785398,0.000002,0.000726,-0.000000,0.000007,-27.137975,4.769243
0.023,0.000020,-0.002594,-0.785398,0.000002,0.000730,-0.000000,0.000007,-27.137975,4.769212
0.033,0.000020,-0.002586,-0.785398,0.000002,0.000735,-0.000000,0.000007,-27.137975,4.769180
0.043,0.000020,-0.002579,-0.785398,0.000002,0.000680,-0.000000,0.000000,-27.178427,4.764380
0.053,0.000020,-0.002573,-0.785398,0.000001,0.000629,0.000022,-0.000438,-27.174001,4.766942
0.063,0.000020,-0.002567,-0.785397,-0.000000,0.000578,0.000100,-0.000873,-27.169611,4.772477
0.073,0.000020,-0.002562,-0.785395,-0.000001,0.000527,0.000232,-0.001305,-27.165259,4.777964
0.083,0.000020,-0.002557,-0.785390,-0.000002,0.000476,0.000417,-0.001733,-27.160948,4.783402
0.093,0.000020,-0.002553,-0.785384,-0.000003,0.000424,0.000657,-0.002158,-27.156681,4.788788
0.103,0.000020,-0.002549,-0.785374,-0.000004,0.000373,0.000949,-0.002580,-27.152459,4.794120
0.113,0.000020,-0.002546,-0.785361,-0.000005,0.000322,0.001294,-0.002999,-27.148285,4.799395
0.123,0.000020,-0.002543,-0.785345,-0.000005,0.000271,0.001691,-0.003414,-27.144162,4.804611
0.133,0.000020,-0.002541,-0.785323,-0.000006,0.000220,0.002140,-0.003827,-27.140091,4.809765
0.143,0.000020,-0.002540,-0.785297,-0.000007,0.000169,0.002640,-0.004236,-27.136076,4.814855
0.153,0.000020,-0.002538,-0.785265,-0.000008,0.000118,0.003191,-0.004642,-27.132118,4.819879
0.163,0.000020,-0.002538,-0.785227,-0.000009,0.000067,0.003793,-0.005045,-27.128220,4.824835
0.173,0.000020,-0.002538,-0.785182,-0.000010,0.000016,0.004444,-0.005445,-27.124384,4.829719
