time_elapsed,injected_tau1,injected_tau2,injected_tau3,gazebo_pos1,gazebo_pos2,gazebo_pos3,gazebo_vel1,gazebo_vel2,gazebo_vel3
0.0000,0.0000,0.0000,0.0000,-1.6790,-3.9270,0.5402,0.0029,-0.0000,1.8891
0.0100,0.1569,0.2197,0.0126,-1.6790,-3.9270,0.5592,0.0025,-0.0000,1.9053
0.0200,0.3138,0.4393,0.0251,-1.6789,-3.9270,0.5784,0.0021,-0.0000,1.9202
0.0301,0.4722,0.6611,0.0378,-1.6789,-3.9270,0.5978,0.0017,-0.0000,1.9339
0.0404,0.6350,0.8890,0.0508,-1.6789,-3.9270,0.6172,0.0018,-0.0000,1.9465
0.0500,0.7857,1.1000,0.0629,-1.6789,-3.9270,0.6368,0.0020,-0.0000,1.9578
0.0602,0.9451,1.3232,0.0756,-1.6789,-3.9270,0.6565,0.0025,-0.0000,1.9679
0.0700,1.0995,1.5393,0.0880,-1.6788,-3.9270,0.6762,0.0033,-0.0000,1.9769
0.0800,1.2563,1.7588,0.1005,-1.6788,-3.9270,0.6961,0.0044,-0.0000,1.9846
0.0900,1.4125,1.9775,0.1130,-1.6787,-3.9270,0.7160,0.0060,-0.0000,1.9912
0.1000,1.5699,2.1979,0.1256,-1.6786,-3.9270,0.7360,0.0079,-0.0000,1.9966
0.1100,1.7261,2.4165,0.1381,-1.6785,-3.9270,0.7560,0.0101,-0.0000,2.0000
0.1200,1.8835,2.6369,0.1507,-1.6784,-3.9270,0.7760,0.0127,-0.0000,2.0000
0.1300,2.0401,2.8561,0.1632,-1.6783,-3.9270,0.7960,0.0155,-0.0000,2.0000
0.1400,2.1966,3.0753,0.1757,-1.6781,-3.9270,0.8160,0.0185,-0.0000,2.0000
0.1500,2.3530,3.2942,0.1882,-1.6779,-3.9270,0.8360,0.0219,-0.0000,1.9992
0.1601,2.5102,3.5143,0.2008,-1.6776,-3.9270,0.8559,0.0255,-0.0000,1.9972
0.1700,2.6655,3.7317,0.2132,-1.6773,-3.9270,0.8759,0.0294,-0.0000,1.9939
0.1800,2.8217,3.9504,0.2257,-1.6770,-3.9270,0.8958,0.0336,-0.0000,1.9895
0.1900,2.9777,4.1688,0.2382,-1.6766,-3.9270,0.9156,0.0381,-0.0000,1.9838
0.2000,3.1338,4.3873,0.2507,-1.6762,-3.9270,0.9354,0.0429,-0.0000,1.9769
0.2101,3.2899,4.6059,0.2632,-1.6757,-3.9270,0.9551,0.0479,-0.0000,1.9688
0.2200,3.4450,4.8230,0.2756,-1.6752,-3.9270,0.9747,0.0532,-0.0000,1.9595
0.2300,3.6006,5.0409,0.2881,-1.6746,-3.9270,0.9941,0.0588,-0.0000,1.9490
0.2400,3.7559,5.2583,0.3005,-1.6739,-3.9270,1.0135,0.0646,-0.0000,1.9373
0.2500,3.9111,5.4756,0.3129,-1.6732,-3.9270,1.0328,0.0707,-0.0000,1.9245
0.2600,4.0661,5.6925,0.3253,-1.6724,-3.9270,1.0519,0.0770,-0.0000,1.9106
0.2700,4.2211,5.9095,0.3377,-1.6716,-3.9270,1.0708,0.0837,-0.0000,1.8955
0.2800,4.3752,6.1253,0.3500,-1.6707,-3.9270,1.0896,0.0906,-0.0000,1.8793
0.2900,4.5298,6.3417,0.3624,-1.6697,-3.9270,1.1082,0.0977,-0.0000,1.8620
0.3001,4.6858,6.5602,0.3749,-1.6687,-3.9270,1.1267,0.1051,-0.0000,1.8437
0.3100,4.8392,6.7749,0.3871,-1.6675,-3.9270,1.1449,0.1127,-0.0000,1.8243
0.3200,4.9931,6.9904,0.3995,-1.6663,-3.9270,1.1630,0.1206,-0.0000,1.8039
0.3300,5.1469,7.2057,0.4118,-1.6651,-3.9270,1.1808,0.1288,-0.0000,1.7824
0.3400,5.3004,7.4206,0.4240,-1.6637,-3.9270,1.1984,0.1371,-0.0000,1.7600
0.3500,5.4539,7.6354,0.4363,-1.6622,-3.9270,1.2157,0.1458,-0.0000,1.7366
0.3600,5.6075,7.8504,0.4486,-1.6607,-3.9270,1.2329,0.1546,-0.0000,1.7123
0.3700,5.7599,8.0639,0.4608,-1.6590,-3.9270,1.2497,0.1637,-0.0000,1.6870
