path_id, q1_end, q2_end, q3_end, q1_mid, q2_mid, q3_mid, t_total
      1, -108  , -28   ,    190, -101  , -2    ,    224,      18
      2, -123  , -44   ,     61, 150   , 6     ,     88,      18
      3, -130  , -32   ,     61, 118   , -46   ,     92,      20
      4, 110   , -13   ,     62, -142  , -54   ,    225,      24
      5, -126  , -19   ,     89, -140  , -53   ,    205,      20
      6, 114   , -40   ,     62, -150  , -3    ,    201,      20
      7, -106  , -55   ,    221, 128   , -30   ,     83,      24
      8, 105   , -2    ,     86, -135  , -10   ,     71,      16
      9, -142  , -15   ,    220, -143  , -33   ,    189,      18
     10, -123  , -12   ,    207, 144   , -25   ,    206,      24
     11, 125   , 3     ,    183, -116  , -52   ,    193,      24
     12, -141  , -44   ,    222, 112   , 12    ,    218,      20
     13, -136  , -55   ,     91, -124  , 7     ,    190,      22
     14, -127  , -28   ,     91, 117   , 0     ,    219,      18
     15, -142  , 1     ,    225, -144  , -32   ,     90,      22
     16, 136   , -36   ,     92, -122  , -52   ,     96,      24
     17, 107   , -25   ,    221, -138  , 14    ,    212,      24
     18, -146  , -12   ,     92, 135   , -45   ,    202,      16
     19, 104   , 2     ,     77, -149  , -56   ,    224,      24
     20, 140   , -45   ,     78, -117  , -6    ,     84,      16
     21, 138   , -39   ,    194, 150   , -6    ,    182,      16
     22, 147   , 11    ,     88, 148   , -36   ,     65,      18
     23, 122   , 1     ,     65, -148  , -32   ,    214,      18
     24, -142  , 0     ,    200, 141   , -56   ,    194,      18
     25, -139  , -54   ,     90, -150  , -53   ,     69,      18
     26, -107  , 2     ,    201, -137  , 12    ,     99,      20
     27, 146   , 14    ,     75, -121  , -51   ,    212,      24
     28, 100   , 8     ,    211, -110  , -39   ,     95,      24
     29, 145   , -39   ,     93, -110  , -20   ,    204,      18
     30, -141  , -42   ,    192, -122  , -42   ,     96,      20
     31, -127  , 14    ,    194, -102  , -8    ,     95,      16
     32, -121  , -28   ,     66, 145   , -45   ,     66,      16
     33, -127  , -52   ,    219, 102   , -33   ,     62,      20
     34, -127  , -38   ,    214, 137   , 8     ,    180,      22
     35, 112   , -11   ,    209, -119  , -59   ,    203,      16
     36, 148   , 15    ,    187, -101  , 2     ,    219,      20
     37, 111   , 6     ,     75, 136   , -43   ,     60,      18
