t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00039365,0.79036106,2.35299549,-0.00008699,0.00167970,-0.00368486,0.00000000,-21.86064918,-0.00000002,-0.18875784,-0.53991176,-0.08650358,-0.18875784,-22.40056093,-0.08650361,0.00000000,-21.83894463,0.00170252,0.00039365,-0.00496290,0.00319900,0.00008699,-0.00167970,0.00368486
0.010,0.00000000,0.78539816,2.35619449,0.00000041,-0.00000012,-0.00000018,0.00008171,-0.00002345,-0.00003632,-0.00039394,0.79037077,2.35296269,-0.00007251,0.00150247,-0.00358365,0.00010621,-21.86064959,-0.00000160,-0.18789458,-0.53741434,-0.08583046,-0.18778837,-22.39806393,-0.08583206,0.00000000,-21.83885042,0.00164002,0.00039394,-0.00497261,0.00323180,0.00007292,-0.00150259,0.00358347
0.020,0.00000001,0.78539816,2.35619449,0.00000163,-0.00000047,-0.00000073,0.00016322,-0.00004685,-0.00007254,-0.00039653,0.79037136,2.35293162,-0.00011905,0.00114164,-0.00346452,0.00021216,-21.86065001,-0.00000318,-0.18509508,-0.53085880,-0.08434669,-0.18488292,-22.39150881,-0.08434987,-0.18875784,-22.40059051,-0.08495005,0.00039654,-0.00497320,0.00326287,0.00012068,-0.00114211,0.00346379
0.030,0.00000004,0.78539815,2.35619447,0.00000367,-0.00000105,-0.00000163,0.00024452,-0.00007019,-0.00010867,-0.00040140,0.79036287,2.35290231,-0.00021108,0.00064398,-0.00333107,0.00031784,-21.86065087,-0.00000495,-0.18071092,-0.52096591,-0.08219851,-0.18039307,-22.38161678,-0.08220346,-0.18778837,-22.39763942,-0.08436670,0.00040144,-0.00496472,0.00329216,0.00021475,-0.00064503,0.00332944
0.040,0.00000009,0.78539814,2.35619445,0.00000652,-0.00000187,-0.00000290,0.00032561,-0.00009346,-0.00014472,-0.00040852,0.79034538,2.35287483,-0.00033623,0.00004583,-0.00318552,0.00042325,-21.86065172,-0.00000672,-0.17502223,-0.50830683,-0.07950217,-0.17459899,-22.36895855,-0.07950889,-0.18488292,-22.39063451,-0.08297543,0.00040861,-0.00494724,0.00331962,0.00034275,-0.00004770,0.00318262
0.050,0.00000017,0.78539811,2.35619441,0.00001018,-0.00000292,-0.00000453,0.00040651,-0.00011668,-0.00018067,-0.00041782,0.79031903,2.35284923,-0.00048471,-0.00062446,-0.00302915,0.00052841,-21.86065330,-0.00000875,-0.16825667,-0.49334710,-0.07635322,-0.16772827,-22.35400040,-0.07636197,-0.18039307,-22.38029912,-0.08092345,0.00041799,-0.00492092,0.00334518,0.00049489,0.00062154,0.00302462
0.060,0.00000029,0.78539808,2.35619436,0.00001465,-0.00000421,-0.00000651,0.00048720,-0.00013984,-0.00021653,-0.00042923,0.79028397,2.35282560,-0.00064873,-0.00134474,-0.00286258,0.00063330,-21.86065495,-0.00001085,-0.16059688,-0.47645828,-0.07282821,-0.15996358,-22.33711324,-0.07283906,-0.17459899,-22.36720575,-0.07832745,0.00042952,-0.00488589,0.00336876,0.00066338,0.00134053,0.00285607
0.070,0.00000047,0.78539803,2.35619428,0.00001993,-0.00000572,-0.00000886,0.00056768,-0.00016295,-0.00025230,-0.00044265,0.79024041,2.35280403,-0.00082206,-0.00209765,-0.00268603,0.00073790,-21.86065742,-0.00001328,-0.15219506,-0.45795241,-0.06899201,-0.15145715,-22.31860984,-0.06900529,-0.16772827,-22.35182221,-0.07528378,0.00044312,-0.00484238,0.00339025,0.00084199,0.00209193,0.00267717
0.080,0.00000069,0.78539796,2.35619418,0.00002601,-0.00000746,-0.00001156,0.00064797,-0.00018599,-0.00028799,-0.00045798,0.79018856,2.35278464,-0.00099974,-0.00286950,-0.00249946,0.00084227,-21.86066061,-0.00001597,-0.14317810,-0.43808581,-0.06489802,-0.14233582,-22.29874642,-0.06491400,-0.15996358,-22.33452071,-0.07186918,0.00045867,-0.00479060,0.00340954,0.00102575,0.00286204,0.00248790
0.090,0.00000099,0.78539788,2.35619405,0.00003289,-0.00000944,-0.00001462,0.00072805,-0.00020898,-0.00032358,-0.00047510,0.79012867,2.35276751,-0.00117780,-0.00364948,-0.00230270,0.00094636,-21.86066430,-0.00001894,-0.13365021,-0.41707347,-0.06059145,-0.13270384,-22.27773777,-0.06061038,-0.15145715,-22.31561513,-0.06814909,0.00047609,-0.00473079,0.00342654,0.00121069,0.00364004,0.00228808
