t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00080079,0.79349972,2.35926343,-0.00334232,0.04351685,-0.03695519,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08018719,-25.00607602,-0.09140255,0.08018719,-25.00607602,-0.09140255,0.00000000,-21.86043651,0.01932689,0.00080079,-0.00810156,-0.00306894,0.00334232,-0.04351685,0.03695519,0
0.010,0.00000001,0.78539815,2.35619450,0.00000302,-0.00000426,0.00000194,0.00000000,0.00000000,0.00000000,-0.00083418,0.79393758,2.35887562,-0.00334159,0.04358420,-0.03741167,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08198687,-25.09837686,-0.02914281,0.08198687,-25.09837686,-0.02914281,0.00000000,-21.86025815,0.01939055,0.00083419,-0.00853943,-0.00268112,0.00334461,-0.04358846,0.03741361,0
0.020,0.00000008,0.78539805,2.35619454,0.00001207,-0.00001700,0.00000773,0.00000000,0.00000000,0.00000000,-0.00086222,0.79432200,2.35853685,-0.00320723,0.04229858,-0.03652794,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08199192,-25.13304493,0.01246885,0.08199192,-25.13304493,0.01246885,0.08018719,-25.02529688,-0.07446418,0.00086230,-0.00892395,-0.00234231,0.00321930,-0.04231558,0.03653567,0
0.030,0.00000027,0.78539778,2.35619466,0.00002710,-0.00003816,0.00001735,0.00000000,0.00000000,0.00000000,-0.00088479,0.79465021,2.35825628,-0.00296962,0.03992924,-0.03441031,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08056278,-25.11895219,0.03311874,0.08056278,-25.11895219,0.03311874,0.08198687,-25.11478748,-0.01511410,0.00088506,-0.00925243,-0.00206162,0.00299672,-0.03996740,0.03442766,0
0.040,0.00000064,0.78539726,2.35619490,0.00004809,-0.00006769,0.00003077,0.00000000,0.00000000,0.00000000,-0.00090185,0.79492083,2.35803934,-0.00265373,0.03671236,-0.03123118,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07800009,-25.06408633,0.03370742,0.07800009,-25.06408633,0.03370742,0.08199192,-25.14657578,0.02331576,0.00090249,-0.00952357,-0.00184444,0.00270182,-0.03678005,0.03126195,0
0.050,0.00000125,0.78539640,2.35619529,0.00007500,-0.00010552,0.00004796,0.00000000,0.00000000,0.00000000,-0.00091344,0.79513369,2.35788792,-0.00228012,0.03285572,-0.02720871,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07455464,-24.97568865,0.01612412,0.07455464,-24.97568865,0.01612412,0.08056278,-25.12959509,0.04068939,0.00091469,-0.00973729,-0.00169263,0.00235512,-0.03296124,0.02725667,0
0.060,0.00000216,0.78539512,2.35619587,0.00010779,-0.00015160,0.00006891,0.00000000,0.00000000,0.00000000,-0.00091967,0.79528970,2.35780066,-0.00186567,0.02854205,-0.02258823,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07043617,-24.86033704,-0.01697763,0.07043617,-24.86033704,-0.01697763,0.07800009,-25.07188686,0.03807080,0.00092183,-0.00989458,-0.00160479,0.00197346,-0.02869365,0.02265714,0
0.070,0.00000343,0.78539334,2.35619668,0.00014644,-0.00020587,0.00009358,0.00000000,0.00000000,0.00000000,-0.00092066,0.79539069,2.35777328,-0.00142422,0.02393131,-0.01762570,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06582056,-24.72399590,-0.06240579,0.06582056,-24.72399590,-0.06240579,0.07455464,-24.98073821,0.01749317,0.00092409,-0.00999735,-0.00157660,0.00157066,-0.02413718,0.01771928,0
0.080,0.00000511,0.78539098,2.35619776,0.00019091,-0.00026828,0.00012194,0.00000000,0.00000000,0.00000000,-0.00091662,0.79543924,2.35779911,-0.00096709,0.01916233,-0.01257329,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06085451,-24.57204156,-0.11664353,0.06085451,-24.57204156,-0.11664353,0.07043617,-24.86276472,-0.01826959,0.00092173,-0.01004826,-0.00160135,0.00115800,-0.01943061,0.01269523,0
0.090,0.00000727,0.78538795,2.35619913,0.00024116,-0.00033876,0.00015398,0.00000000,0.00000000,0.00000000,-0.00090775,0.79543853,2.35786962,-0.00050347,0.01435398,-0.00766729,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05566191,-24.40927329,-0.17605130,0.05566191,-24.40927329,-0.17605130,0.06582056,-24.72396038,-0.06593116,0.00091502,-0.01005058,-0.00167049,0.00074463,-0.01469274,0.00782127,0
0.100,0.00000995,0.78538417,2.35620085,0.00029716,-0.00041725,0.00018966,0.00000000,0.00000000,0.00000000,-0.00089428,0.79539216,2.35797491,-0.00004084,0.00960625,-0.00311831,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05034531,-24.23991380,-0.23703766,0.05034531,-24.23991380,-0.23703766,0.06085451,-24.56972309,-0.12190783,0.00090423,-0.01000799,-0.00177406,0.00033800,-0.01002350,0.00330797,0
0.110,0.00001323,0.78537958,2.35620294,0.00035888,-0.00050371,0.00022896,0.00000000,0.00000000,0.00000000,-0.00087646,0.79530402,2.35810430,0.00041484,0.00500112,0.00089597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04499241,-24.06761017,-0.29622638,0.04499241,-24.06761017,-0.29622638,0.05566191,-24.40486616,-0.18252070,0.00088969,-0.00992444,-0.00190136,-0.00005596,-0.00550483,-0.00066701,0
0.120,0.00001715,0.78537407,2.35620544,0.00042629,-0.00059808,0.00027185,0.00000000,0.00000000,0.00000000,-0.00085455,0.79517813,2.35824685,0.00085880,0.00060357,0.00423585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03967470,-23.89545259,-0.35057707,0.03967470,-23.89545259,-0.35057707,0.05034531,-24.23361926,-0.24416541,0.00087170,-0.00980406,-0.00204141,-0.00043251,-0.00120165,-0.00396400,0
0.130,0.00002177,0.78536759,2.35620839,0.00049935,-0.00070029,0.00031831,0.00000000,0.00000000,0.00000000,-0.00082882,0.79501853,2.35839187,0.00128732,-0.00353733,0.00680234,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03445256,-23.72596533,-0.39748871,0.03445256,-23.72596533,-0.39748871,0.04499241,-24.05963015,-0.30347728,0.00085059,-0.00965094,-0.00218348,-0.00078797,0.00283704,-0.00648403,0
