t,q_des_1,q_des_2,q_des_3,q_act_1,q_act_2,q_act_3,dv1,dv2,dv3,qd1,qd2,qd3,tau_total_1,tau_total_2,tau_total_3,tau_sensed1,tau_sensed2,tau_sensed3
0.000,0.00000000,0.78539816,2.35619449,0.00029153,0.78089800,2.36298689,0.00000000,0.00000000,-0.00000000,-0.00196632,0.02428084,-0.01380799,0.00900495,0.05132781,-0.88213849,0.00000000,-21.85112994,0.00748003
0.010,0.00000001,0.78539815,2.35619450,0.00027083,0.78115469,2.36283483,0.00000302,-0.00000426,0.00000194,-0.00199211,0.02462793,-0.01415736,0.01043275,-0.01133396,-0.85710497,0.00000000,-21.85119962,0.00760275
0.020,0.00000008,0.78539805,2.35619454,0.00025006,0.78141268,2.36268038,0.00001207,-0.00001700,0.00000773,-0.00201345,0.02492064,-0.01447927,0.01188724,-0.07273031,-0.83191329,0.00000000,-21.85126441,0.00772249
0.030,0.00000027,0.78539778,2.35619466,0.00022921,0.78167186,2.36252360,0.00002710,-0.00003816,0.00001735,-0.00203126,0.02517010,-0.01477907,0.01338143,-0.13324569,-0.80651107,-0.00000000,-21.85132428,0.00783923
0.040,0.00000064,0.78539726,2.35619490,0.00020830,0.78193215,2.36236454,0.00004809,-0.00006769,0.00003077,-0.00204622,0.02538467,-0.01506075,0.01492595,-0.19316704,-0.78086131,0.00000000,-21.85137922,0.00795291
0.050,0.00000125,0.78539640,2.35619529,0.00018733,0.78219343,2.36220327,0.00007500,-0.00010552,0.00004796,-0.00205886,0.02557060,-0.01532731,0.01652911,-0.25270922,-0.75493887,0.00000000,-21.85142921,0.00806349
0.060,0.00000216,0.78539512,2.35619587,0.00016631,0.78245562,2.36203985,0.00010779,-0.00015160,0.00006891,-0.00206955,0.02573256,-0.01558094,0.01819769,-0.31203080,-0.72872467,0.00000000,-21.85147424,0.00817093
0.070,0.00000343,0.78539334,2.35619668,0.00014526,0.78271860,2.36187435,0.00014644,-0.00020587,0.00009358,-0.00207859,0.02587406,-0.01582330,0.01993754,-0.37124876,-0.70220584,-0.00000000,-21.85151430,0.00827518
0.080,0.00000511,0.78539098,2.35619776,0.00012417,0.78298229,2.36170683,0.00019091,-0.00026828,0.00012194,-0.00208618,0.02599772,-0.01605558,0.02175289,-0.43044955,-0.67537379,0.00000000,-21.85154938,0.00837621
0.090,0.00000727,0.78538795,2.35619913,0.00010305,0.78324658,2.36153735,0.00024116,-0.00033876,0.00015398,-0.00209250,0.02610551,-0.01627867,0.02364835,-0.48969775,-0.64822612,-0.00000000,-21.85157946,0.00847397
0.100,0.00000995,0.78538417,2.35620085,0.00008192,0.78351137,2.36136598,0.00029716,-0.00041725,0.00018966,-0.00209767,0.02619889,-0.01649322,0.02562665,-0.54903899,-0.62075719,0.00000000,-21.85160454,0.00856844
0.110,0.00001323,0.78537958,2.35620294,0.00006078,0.78377656,2.36119279,0.00035888,-0.00050371,0.00022896,-0.00210177,0.02627896,-0.01669970,0.02769213,-0.60850262,-0.59296914,0.00000000,-21.85162462,0.00865957
0.120,0.00001715,0.78537407,2.35620544,0.00003964,0.78404205,2.36101784,0.00042629,-0.00059808,0.00027185,-0.00210487,0.02634655,-0.01689843,0.02984691,-0.66811761,-0.56486260,0.00000000,-21.85163969,0.00874732
0.130,0.00002177,0.78536759,2.35620839,0.00001850,0.78430775,2.36084121,0.00049935,-0.00070029,0.00031831,-0.00210702,0.02640227,-0.01708966,0.03209374,-0.72789334,-0.53643926,-0.00000000,-21.85164975,0.00883167
0.140,0.00002715,0.78536004,2.35621182,-0.00000262,0.78457354,2.36066295,0.00057803,-0.00081029,0.00036831,-0.00210827,0.02644659,-0.01727353,0.03443538,-0.78784453,-0.50770323,0.00000000,-21.85165480,0.00891258
