t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00033154,0.78201461,2.35527592,0.00175464,-0.02257712,0.01708715,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,-0.00848273,0.19748113,-0.03077556,-0.01014007,-21.66309168,-0.03235038,0.00000000,-21.82693114,-0.00885004,-0.00033154,0.00338355,0.00091857,-0.00175464,0.02257712,-0.01708715,0
0.010,0.00000001,0.78539815,2.35619450,0.00000351,-0.00000290,0.00000236,0.00070122,-0.00058032,0.00047151,0.00033154,0.78201461,2.35527592,0.00175464,-0.02257712,0.01708715,0.00233434,-21.86405563,-0.00173603,0.00233434,-21.86405563,-0.00173603,-0.00847589,0.19747315,-0.03076861,-0.00614156,-21.66658248,-0.03250464,0.00000000,-21.82693114,-0.00885004,-0.00033153,0.00338354,0.00091858,-0.00175113,0.02257422,-0.01708479,0
0.020,0.00000009,0.78539809,2.35619455,0.00001401,-0.00001160,0.00000942,0.00139894,-0.00115774,0.00094066,0.00040075,0.78111616,2.35598450,0.00173405,-0.02245681,0.01751558,0.00630645,-21.86751747,-0.00189705,0.00630645,-21.86751747,-0.00189705,-0.00945101,0.21929651,-0.04103264,-0.00314456,-21.64822096,-0.04292969,0.00000000,-21.82726455,-0.00885479,-0.00040066,0.00428193,0.00021005,-0.00172004,0.02244521,-0.01750616,0
0.030,0.00000032,0.78539790,2.35619470,0.00003148,-0.00002605,0.00002116,0.00209315,-0.00173226,0.00140746,0.00041735,0.78089944,2.35615418,0.00171566,-0.02226049,0.01737881,0.01025831,-21.87096786,-0.00205579,0.01025831,-21.87096786,-0.00205579,-0.00962535,0.22366478,-0.04286528,0.00063297,-21.64730308,-0.04492107,-0.00614156,-21.65574672,-0.04098889,-0.00041703,0.00449846,0.00004052,-0.00168418,0.02223444,-0.01735765,0
0.040,0.00000075,0.78539755,2.35619499,0.00005586,-0.00004623,0.00003756,0.00278386,-0.00230389,0.00187191,0.00043353,0.78068858,2.35631482,0.00169125,-0.02196676,0.01705004,0.01419030,-21.87440491,-0.00221615,0.01419030,-21.87440491,-0.00221615,-0.00976446,0.22736731,-0.04408700,0.00442584,-21.64703760,-0.04630315,-0.00314456,-21.63767817,-0.05096156,-0.00043278,0.00470897,-0.00011983,-0.00163539,0.02192053,-0.01701248,0
0.050,0.00000146,0.78539696,2.35619547,0.00008714,-0.00007212,0.00005860,0.00347108,-0.00287262,0.00233401,0.00044935,0.78048370,2.35646615,0.00166374,-0.02159713,0.01657077,0.01810234,-21.87783241,-0.00237460,0.01810234,-21.87783241,-0.00237460,-0.00987385,0.23050684,-0.04479755,0.00822848,-21.64732557,-0.04717215,0.00063297,-21.63705896,-0.05248756,-0.00044789,0.00491326,-0.00027068,-0.00157660,0.02152501,-0.01651217,0
0.060,0.00000251,0.78539608,2.35619618,0.00012527,-0.00010368,0.00008424,0.00415482,-0.00343847,0.00279376,0.00046485,0.78028488,2.35660800,0.00163534,-0.02116836,0.01597446,0.02199468,-21.88124466,-0.00253290,0.02199468,-21.88124466,-0.00253290,-0.00995803,0.23316390,-0.04507798,0.01203665,-21.64808076,-0.04761088,0.00442584,-21.63709659,-0.05339592,-0.00046234,0.00511120,-0.00041182,-0.00151007,0.02106468,-0.01589022,0
0.070,0.00000398,0.78539487,2.35619717,0.00017023,-0.00014088,0.00011446,0.00483508,-0.00400144,0.00325117,0.00048010,0.78009219,2.35674030,0.00160774,-0.02069354,0.01528818,0.02586703,-21.88465500,-0.00269054,0.02586703,-21.88465500,-0.00269054,-0.01002006,0.23540144,-0.04499419,0.01584698,-21.64925356,-0.04768473,0.00822848,-21.63769102,-0.05378681,-0.00047612,0.00530268,-0.00054313,-0.00143751,0.02055266,-0.01517372,0
0.080,0.00000594,0.78539325,2.35619848,0.00022196,-0.00018369,0.00014925,0.00551186,-0.00456154,0.00370625,0.00049515,0.77990568,2.35686301,0.00158219,-0.02018297,0.01453389,0.02971966,-21.88804817,-0.00284821,0.02971966,-21.88804817,-0.00284821,-0.01006242,0.23726784,-0.04460037,0.01965724,-21.65078033,-0.04744858,0.01203665,-21.63875513,-0.05374639,-0.00048921,0.00548757,-0.00066453,-0.00136023,0.01999928,-0.01438464,0
0.090,0.00000845,0.78539117,2.35620017,0.00028045,-0.00023210,0.00018858,0.00618518,-0.00511877,0.00415900,0.00051007,0.77972538,2.35697617,0.00155966,-0.01964477,0.01372952,0.03355291,-21.89144325,-0.00300464,0.03355291,-21.89144325,-0.00300464,-0.01008705,0.23880169,-0.04394107,0.02346586,-21.65264156,-0.04694571,0.01584698,-21.64023847,-0.05334294,-0.00050162,0.00566579,-0.00077600,-0.00127921,0.01941267,-0.01354094,0
