t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00062716,0.79302445,2.35230093,-0.00068869,0.00949525,-0.01027506,0.03965366,-23.72014695,0.68756384,0.03965366,-23.72014695,0.68756384,0.00000000,-21.84289243,0.00511335,0.00062716,-0.00762629,0.00389356,0.00068869,-0.00949525,0.01027506
0.010,-0.00000001,0.78539816,2.35619450,-0.00000442,-0.00000139,0.00000230,-0.00088257,-0.00027807,0.00045942,-0.00063341,0.79311201,2.35220026,-0.00067262,0.00931052,-0.01022308,0.03966293,-23.73319884,0.70301404,0.03966293,-23.73319884,0.70301404,-0.00000000,-21.84274319,0.00503357,0.00063340,-0.00771385,0.00399424,0.00066820,-0.00931191,0.01022538
0.020,-0.00000012,0.78539813,2.35619455,-0.00001764,-0.00000556,0.00000918,-0.00176073,-0.00055475,0.00091655,-0.00063690,0.79315267,2.35222114,-0.00059187,0.00799927,-0.00714507,0.03864862,-23.69755441,0.67001713,0.03864862,-23.69755441,0.67001713,0.03965366,-23.72217971,0.68651936,0.00063678,-0.00775454,0.00397341,0.00057423,-0.00800483,0.00715425
0.030,-0.00000040,0.78539804,2.35619470,-0.00003962,-0.00001248,0.00002062,-0.00263448,-0.00083004,0.00137137,-0.00063764,0.79314604,2.35236492,-0.00046234,0.00583390,-0.00176446,0.03679795,-23.62266681,0.59559340,0.03679795,-23.62266681,0.59559340,0.03966293,-23.73286774,0.69582537,0.00063724,-0.00774800,0.00382978,0.00042272,-0.00584638,0.00178508
0.040,-0.00000094,0.78539787,2.35619498,-0.00007031,-0.00002215,0.00003660,-0.00350383,-0.00110395,0.00182391,-0.00063566,0.79309353,2.35262599,-0.00029727,0.00306250,0.00520338,0.03426762,-23.51748803,0.48771553,0.03426762,-23.51748803,0.48771553,0.03864862,-23.69492856,0.65696369,0.00063472,-0.00769566,0.00356899,0.00022696,-0.00308465,-0.00516678
0.050,-0.00000183,0.78539759,2.35619544,-0.00010968,-0.00003456,0.00005709,-0.00436878,-0.00137646,0.00227416,-0.00063105,0.79299795,2.35299294,-0.00010759,-0.00009255,0.01307624,0.03118878,-23.39036371,0.35490409,0.03118878,-23.39036371,0.35490409,0.03679795,-23.61788797,0.57724598,0.00062922,-0.00760036,0.00320250,-0.00000209,0.00005799,-0.01301915
0.060,-0.00000316,0.78539717,2.35619614,-0.00015767,-0.00004968,0.00008208,-0.00522934,-0.00164760,0.00272212,-0.00062391,0.79286329,2.35344971,0.00009769,-0.00343583,0.02122644,0.02767123,-23.24892453,0.20583550,0.02767123,-23.24892453,0.20583550,0.03426762,-23.51075520,0.46487700,0.00062075,-0.00746612,0.00274643,-0.00025536,0.00338615,-0.02114436
0.070,-0.00000501,0.78539658,2.35619710,-0.00021425,-0.00006750,0.00011153,-0.00608553,-0.00191736,0.00316781,-0.00061439,0.79269437,2.35397684,0.00031123,-0.00679986,0.02909811,0.02380622,-23.09999241,0.04897618,0.02380622,-23.09999241,0.04897618,0.03118878,-23.38191773,0.32854752,0.00060938,-0.00729779,0.00222026,-0.00052548,0.00673236,-0.02898658
0.080,-0.00000747,0.78539581,2.35619838,-0.00027937,-0.00008802,0.00014542,-0.00693734,-0.00218574,0.00361122,-0.00060264,0.79249654,2.35455270,0.00052709,-0.01004561,0.03622017,0.01966868,-22.94949995,-0.10771951,0.01966868,-22.94949995,-0.10771951,0.02767123,-23.23903311,0.17704233,0.00059517,-0.00710073,0.00164568,-0.00080646,0.00995759,-0.03607475
0.090,-0.00001063,0.78539481,2.35620002,-0.00035298,-0.00011121,0.00018374,-0.00778479,-0.00245274,0.00405236,-0.00058884,0.79227542,2.35515469,0.00074054,-0.01306232,0.04221481,0.01531974,-22.80244870,-0.25708167,0.01531974,-22.80244870,-0.25708167,0.02380622,-23.08893618,0.01887681,0.00057821,-0.00688061,0.00104533,-0.00109352,0.01295111,-0.04203107
0.100,-0.00001456,0.78539358,2.35620207,-0.00043505,-0.00013707,0.00022646,-0.00862788,-0.00271837,0.00449123,-0.00057314,0.79203662,2.35576031,0.00094784,-0.01576685,0.04680176,0.01080952,-22.66286776,-0.39292816,0.01080952,-22.66286776,-0.39292816,0.01966868,-22.93755973,-0.13800082,0.00055858,-0.00664304,0.00044176,-0.00138289,0.01562978,-0.04657530
0.110,-0.00001936,0.78539206,2.35620457,-0.00052553,-0.00016558,0.00027356,-0.00946662,-0.00298263,0.00492783,-0.00055573,0.79178553,2.35634820,0.00114612,-0.01810230,0.04979841,0.00617690,-22.53383628,-0.51021619,0.00617690,-22.53383628,-0.51021619,0.01531974,-22.78989437,-0.28647584,0.00053637,-0.00639347,-0.00014363,-0.00167165,0.01793672,-0.04952485
0.120,-0.00002510,0.78539025,2.35620756,-0.00062437,-0.00019672,0.00032501,-0.01030102,-0.00324553,0.00536218,-0.00053679,0.79152715,2.35689890,0.00133319,-0.02003612,0.05111625,0.00145388,-22.41748980,-0.60513118,0.00145388,-22.41748980,-0.60513118,0.01080952,-22.64994896,-0.42046305,0.00051169,-0.00613690,-0.00069134,-0.00195756,0.01983940,-0.05079124
0.130,-0.00003187,0.78538812,2.35621108,-0.00073153,-0.00023048,0.00038080,-0.01113108,-0.00350705,0.00579426,-0.00051648,0.79126593,2.35739558,0.00150745,-0.02155769,0.05075418,-0.00333557,-22.31509302,-0.67512022,-0.00333557,-22.31509302,-0.67512022,0.00617690,-22.52077507,-0.53505017,0.00048461,-0.00587781,-0.00118450,-0.00223898,0.02132721,-0.05037338
0.140,-0.00003976,0.78538564,2.35621519,-0.00084698,-0.00026686,0.00044089,-0.01195682,-0.00376722,0.00622410,-0.00049500,0.79100564,2.35782451,0.00166775,-0.02267554,0.04878905,-0.00817324,-22.22711055,-0.71887085,-0.00817324,-22.22711055,-0.71887085,0.00145388,-22.40447526,-0.62657800,0.00045524,-0.00562000,-0.00160932,-0.00251473,0.02240868,-0.04834816
0.150,-0.00004884,0.78538278,2.35621991,-0.00097065,-0.00030582,0.00050527,-0.01277823,-0.00402602,0.00665168,-0.00047250,0.79074934,2.35817541,0.00181331,-0.02341421,0.04536426,-0.01304389,-22.15329964,-0.73625428,-0.01304389,-22.15329964,-0.73625428,-0.00333557,-22.30227790,-0.69266515,0.00042366,-0.00536656,-0.00195550,-0.00278396,0.02310839,-0.04485899
0.160,-0.00005920,0.78537951,2.35622531,-0.00110253,-0.00034737,0.00057392,-0.01359533,-0.00428346,0.00707702,-0.00044915,0.79049932,2.35844156,0.00194361,-0.02381105,0.04067692,-0.01793747,-22.09282121,-0.72820748,-0.01793747,-22.09282121,-0.72820748,-0.00817324,-22.21460978,-0.73217830,0.00038995,-0.00511981,-0.00221625,-0.00304614,0.02346368,-0.04010300
0.170,-0.00007092,0.78537582,2.35623141,-0.00124255,-0.00039149,0.00064680,-0.01440812,-0.00453955,0.00750012,-0.00042513,0.79025714,2.35861982,0.00205834,-0.02391285,0.03496424,-0.02284531,-22.04434995,-0.69661152,-0.02284531,-22.04434995,-0.69661152,-0.01304389,-22.14119052,-0.74516737,0.00035421,-0.00488132,-0.00238841,-0.00330089,0.02352136,-0.03431744
0.180,-0.00008408,0.78537167,2.35623826,-0.00139067,-0.00043816,0.00072391,-0.01521662,-0.00479428,0.00792098,-0.00040058,0.79002362,2.35871048,0.00215734,-0.02377262,0.02848969,-0.02776093,-22.00620592,-0.64411891,-0.02776093,-22.00620592,-0.64411891,-0.01793747,-22.08114524,-0.73274051,0.00031650,-0.00465195,-0.00247222,-0.00354801,0.02333446,-0.02776578
0.190,-0.00009876,0.78536705,2.35624590,-0.00154686,-0.00048737,0.00080522,-0.01602082,-0.00504766,0.00833961,-0.00037568,0.78979894,2.35871697,0.00224053,-0.02344650,0.02152958,-0.03267924,-21.97646332,-0.57398488,-0.03267924,-21.97646332,-0.57398488,-0.02284531,-22.03311587,-0.69693614,0.00027692,-0.00443189,-0.00247107,-0.00378739,0.02295913,-0.02072436
0.200,-0.00011504,0.78536192,2.35625437,-0.00171108,-0.00053911,0.00089070,-0.01682075,-0.00529969,0.00875600,-0.00035058,0.78958270,2.35864550,0.00230792,-0.02299093,0.01436038,-0.03759579,-21.95307750,-0.48988334,-0.03759579,-21.95307750,-0.48988334,-0.02776093,-21.99539383,-0.64054530,0.00023554,-0.00422078,-0.00239113,-0.00401900,0.02245182,-0.01346968
0.210,-0.00013301,0.78535626,2.35626373,-0.00188327,-0.00059336,0.00098033,-0.01761639,-0.00555037,0.00917018,-0.00032544,0.78937402,2.35850459,0.00235951,-0.02246009,0.00724738,-0.04250676,-21.93398186,-0.39572234,-0.04250676,-21.93398186,-0.39572234,-0.03267924,-21.96602952,-0.56693906,0.00019243,-0.00401776,-0.00224086,-0.00424278,0.02186673,-0.00626705
0.220,-0.00015273,0.78535004,2.35627400,-0.00206339,-0.00065011,0.00107409,-0.01840776,-0.00579971,0.00958212,-0.00030041,0.78917167,2.35830456,0.00239534,-0.02190386,0.00043482,-0.04740723,-21.91719018,-0.29547934,-0.04740723,-21.91719018,-0.29547934,-0.03759579,-21.94295991,-0.47988192,0.00014768,-0.00382163,-0.00203056,-0.00445873,0.02125375,0.00063927
0.230,-0.00017430,0.78534325,2.35628522,-0.00225141,-0.00070935,0.00117196,-0.01919488,-0.00604770,0.00999185,-0.00027565,0.78897414,2.35805703,0.00241541,-0.02136605,-0.00586212,-0.05229435,-21.90087219,-0.19303216,-0.05229435,-21.90087219,-0.19303216,-0.04250676,-21.92410555,-0.38334586,0.00010135,-0.00363089,-0.00177181,-0.00466682,0.02065670,0.00703408
0.240,-0.00019779,0.78533585,2.35629745,-0.00244727,-0.00077106,0.00127392,-0.01997774,-0.00629436,0.01039937,-0.00025133,0.78877980,2.35777435,0.00241975,-0.02088316,-0.01146351,-0.05716327,-21.88342977,-0.09201726,-0.05716327,-21.88342977,-0.09201726,-0.04740723,-21.90747293,-0.28134549,0.00005354,-0.00344395,-0.00147690,-0.00486702,0.02011210,0.01273743
0.250,-0.00022327,0.78532782,2.35631071,-0.00265095,-0.00083523,0.00137994,-0.02075635,-0.00653967,0.01080467,-0.00022758,0.78858695,2.35746911,0.00240836,-0.02048355,-0.01622879,-0.06200946,-21.86353784,0.00428054,-0.06200946,-21.86353784,0.00428054,-0.05229435,-21.89122982,-0.17776985,0.00000431,-0.00325913,-0.00115840,-0.00505931,0.01964832,0.01760873
