t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
0.001,1.757751,0.341459,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.01,1.757751,0.341459,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.02,1.757751,0.341459,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.03,1.757751,0.341459,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.04,1.757751,0.341459,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.05,1.757751,0.341459,0.0,-0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.06,1.757751,0.341459,0.0,-0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.07,1.757751,0.341459,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.08,1.757751,0.341459,0.0,-0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.09,1.757751,0.341459,0.0,-0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.1,1.757751,0.341459,0.0,-0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.112,1.757592,0.341059,0.0,-0.015896,-0.039985,0.0,-8.528239,-32.07505,0.0,-0.015896,-0.039986,0.0
0.121,1.757274,0.34026,0.0,-0.031793,-0.079967,0.0,-8.528226,-32.074618,0.0,-0.015897,-0.039982,0.0
0.13,1.756797,0.33906,0.0,-0.047694,-0.119941,0.0,-8.528212,-32.074169,0.0,-0.015901,-0.039974,0.0
0.14,1.756161,0.337461,0.0,-0.0636,-0.159903,0.0,-8.528184,-32.073217,0.0,-0.015906,-0.039962,0.0
0.15,1.755366,0.335463,0.0,-0.079515,-0.199852,0.0,-8.52817,-32.072714,0.0,-0.015915,-0.039949,0.0
0.161,1.754411,0.333065,0.0,-0.095439,-0.239783,0.0,-8.52817,-32.072714,0.0,-0.015924,-0.039931,0.0
0.17,1.754411,0.333065,0.0,-0.095439,-0.239783,0.0,-8.52817,-32.072714,0.0,0.0,0.0,0.0
0.18,1.752024,0.327072,0.0,-0.127328,-0.319581,0.0,-8.528139,-32.071655,0.0,-0.031889,-0.079798,0.0
0.19,1.750591,0.323478,0.0,-0.143296,-0.359441,0.0,-8.528124,-32.071098,0.0,-0.015968,-0.03986,0.0
0.2,1.748998,0.319485,0.0,-0.159283,-0.39927,0.0,-8.528108,-32.070523,0.0,-0.015987,-0.039829,0.0
0.21,1.747245,0.315094,0.0,-0.175292,-0.439067,0.0,-8.528091,-32.06993,0.0,-0.016009,-0.039797,0.0
0.22,1.745332,0.310306,0.0,-0.191323,-0.478827,0.0,-8.528057,-32.068688,0.0,-0.016031,-0.03976,0.0
0.23,1.743258,0.305121,0.0,-0.207381,-0.518548,0.0,-8.52804,-32.068039,0.0,-0.016058,-0.039721,0.0
0.24,1.741024,0.299538,0.0,-0.223466,-0.558229,0.0,-8.52804,-32.068039,0.0,-0.016085,-0.039681,0.0
0.25,1.738628,0.29356,0.0,-0.239582,-0.597864,0.0,-8.527985,-32.065981,0.0,-0.016116,-0.039635,0.0
0.26,1.736071,0.287185,0.0,-0.25573,-0.637452,0.0,-8.527966,-32.065257,0.0,-0.016148,-0.039588,0.0
0.27,1.733351,0.280415,0.0,-0.271913,-0.676993,0.0,-8.527946,-32.064514,0.0,-0.016183,-0.039541,0.0
0.28,1.73047,0.27325,0.0,-0.288134,-0.716485,0.0,-8.527946,-32.064514,0.0,-0.016221,-0.039492,0.0
0.29,1.727426,0.265691,0.0,-0.304394,-0.755924,0.0,-8.527926,-32.063752,0.0,-0.01626,-0.039439,0.0
0.301,1.724219,0.257738,0.0,-0.320696,-0.795308,0.0,-8.527885,-32.062171,0.0,-0.016302,-0.039384,0.0
0.31,1.720849,0.249392,0.0,-0.337043,-0.834638,0.0,-8.527864,-32.061351,0.0,-0.016347,-0.03933,0.0
0.322,1.717314,0.240653,0.0,-0.353437,-0.873912,0.0,-8.527864,-32.061351,0.0,-0.016394,-0.039274,0.0
0.331,1.713616,0.231521,0.0,-0.36988,-0.913127,0.0,-8.527821,-32.059653,0.0,-0.016443,-0.039215,0.0
0.34,1.709752,0.221998,0.0,-0.386375,-0.952285,0.0,-8.527821,-32.059653,0.0,-0.016495,-0.039158,0.0
0.35,1.705723,0.212085,0.0,-0.402925,-0.991383,0.0,-8.527776,-32.057876,0.0,-0.01655,-0.039098,0.0
0.361,1.701527,0.20178,0.0,-0.419532,-1.030421,0.0,-8.527753,-32.056958,0.0,-0.016607,-0.039038,0.0
0.37,1.697165,0.191086,0.0,-0.436198,-1.069402,0.0,-8.527753,-32.056958,0.0,-0.016666,-0.038981,0.0
0.38,1.692636,0.180003,0.0,-0.452927,-1.108324,0.0,-8.52773,-32.05602,0.0,-0.016729,-0.038922,0.0
0.39,1.687939,0.168531,0.0,-0.469721,-1.147189,0.0,-8.52773,-32.05602,0.0,-0.016794,-0.038865,0.0
0.4,1.683073,0.156671,0.0,-0.486583,-1.185992,0.0,-8.527657,-32.053085,0.0,-0.016862,-0.038803,0.0
0.41,1.683073,0.156671,0.0,-0.486583,-1.185992,0.0,-8.527657,-32.053085,0.0,0.0,0.0,0.0
0.42,1.672833,0.13179,0.0,-0.52052,-1.26343,0.0,-8.527606,-32.051027,0.0,-0.033937,-0.077438,0.0
0.43,1.667457,0.118769,0.0,-0.537602,-1.302067,0.0,-8.52758,-32.049967,0.0,-0.017082,-0.038637,0.0
0.443,1.661909,0.105362,0.0,-0.554762,-1.340654,0.0,-8.52758,-32.049967,0.0,-0.01716,-0.038587,0.0
0.45,1.656189,0.09157,0.0,-0.572003,-1.379193,0.0,-8.52758,-32.049967,0.0,-0.017241,-0.038539,0.0
0.46,1.650296,0.077394,0.0,-0.589329,-1.417687,0.0,-8.52758,-32.049967,0.0,-0.017326,-0.038494,0.0
0.47,1.644228,0.062832,0.0,-0.606742,-1.456133,0.0,-8.5275,-32.046664,0.0,-0.017413,-0.038446,0.0
0.481,1.637986,0.047887,0.0,-0.624245,-1.494539,0.0,-8.527473,-32.045522,0.0,-0.017503,-0.038406,0.0
0.49,1.631567,0.032558,0.0,-0.641842,-1.532911,0.0,-8.527473,-32.045522,0.0,-0.017597,-0.038372,0.0
0.5,1.624972,0.016845,0.0,-0.659534,-1.57125,0.0,-8.527445,-32.044358,0.0,-0.017692,-0.038339,0.0
0.51,1.618199,0.00075,0.0,-0.677325,-1.609556,0.0,-8.527358,-32.040741,0.0,-0.017791,-0.038306,0.0
0.52,1.611247,-0.015729,0.0,-0.695218,-1.647842,0.0,-8.527358,-32.040741,0.0,-0.017893,-0.038286,0.0
0.53,1.611247,-0.015729,0.0,-0.695218,-1.647842,0.0,-8.527358,-32.040741,0.0,0.0,0.0,0.0
0.54,1.596801,-0.049834,0.0,-0.731321,-1.724373,0.0,-8.527358,-32.040741,0.0,-0.036103,-0.076531,0.0
0.55,1.596801,-0.049834,0.0,-0.731321,-1.724373,0.0,-8.527358,-32.040741,0.0,0.0,0.0,0.0
0.56,1.581627,-0.085468,0.0,-0.767867,-1.800873,0.0,-8.527237,-32.03562,0.0,-0.036546,-0.0765,0.0
0.57,1.573764,-0.10386,0.0,-0.786313,-1.839132,0.0,-8.527205,-32.034286,0.0,-0.018446,-0.038259,0.0
0.581,1.565715,-0.122634,0.0,-0.804878,-1.877408,0.0,-8.527173,-32.032929,0.0,-0.018565,-0.038276,0.0
0.59,1.55748,-0.141791,0.0,-0.823566,-1.91571,0.0,-8.527173,-32.032929,0.0,-0.018688,-0.038302,0.0
0.601,1.549056,-0.161331,0.0,-0.842379,-1.954044,0.0,-8.527141,-32.031551,0.0,-0.018813,-0.038334,0.0
0.611,1.540444,-0.180946,0.0,-0.861199,-1.961478,0.0,-8.527075,-15.53845,0.0,-0.01882,-0.007434,0.0
0.62,1.531644,-0.20056,0.0,-0.880015,-1.961415,0.0,-8.527041,-11.515117,0.0,-0.018816,6.3e-05,0.0
0.63,1.522655,-0.220174,0.0,-0.898839,-1.961342,0.0,-8.527007,-11.477897,0.0,-0.018824,7.3e-05,0.0
0.64,1.513479,-0.239786,0.0,-0.917671,-1.961259,0.0,-8.526972,-11.436182,0.0,-0.018832,8.3e-05,0.0
0.65,1.504114,-0.259399,0.0,-0.936511,-1.961252,0.0,-8.526972,-11.436182,0.0,-0.01884,7e-06,0.0
0.66,1.49456,-0.27901,0.0,-0.955359,-1.961148,0.0,-8.526902,-11.339337,0.0,-0.018848,0.000104,0.0
0.67,1.484818,-0.298621,0.0,-0.974214,-1.961033,0.0,-8.526902,-11.284246,0.0,-0.018855,0.000115,0.0
0.68,1.484818,-0.298621,0.0,-0.974214,-1.961033,0.0,-8.526902,-11.284246,0.0,0.0,0.0,0.0
0.69,1.474887,-0.31823,0.0,-0.993076,-1.960906,0.0,-8.52683,-11.224738,0.0,-0.018862,0.000127,0.0
0.701,1.464768,-0.337837,0.0,-1.011945,-1.960767,0.0,-8.526793,-11.160836,0.0,-0.018869,0.000139,0.0
0.71,1.454459,-0.357444,0.0,-1.03082,-1.960617,0.0,-8.526756,-11.092566,0.0,-0.018875,0.00015,0.0
0.72,1.443962,-0.377048,0.0,-1.0497,-1.960454,0.0,-8.526756,-11.019952,0.0,-0.01888,0.000163,0.0
0.73,1.433277,-0.396651,0.0,-1.068586,-1.960278,0.0,-8.52668,-10.943025,0.0,-0.018886,0.000176,0.0
